destination country,destination city,description,time,year,year_aggregate
Egypt,Cairo,"Met with Arab League Secretary General Nabil al-Araby, Foreign Minister Mohamed Amr, President Mohammed Morsi, Defense Minister Abdul Fatah al-Sisi, and Egyptian political and business leaders.","March 2–3, 2013",2013,2015
Saudi Arabia,Riyadh,Met with the Gulf Cooperation Council Foreign Ministers and with Foreign Minister Prince Saud al-Faisal.,"March 3–4, 2013",2013,2015
United Arab Emirates,Abu Dhabi,Met with Crown Prince Mohamed bin Zayed al-Nahyan and Foreign Minister Abdullah bin Zayed al-Nahyan.,"March 4–5, 2013",2013,2015
Qatar,Doha,"Met with Emir Hamad bin Khalifa al-Thani, Heir Apparent Tamim bin Hammad al-Thani, and Prime Minister/Foreign Minister Hamad bin Jassin bin Jaber al-Thani.","March 5–6, 2013",2013,2015
Ireland,Shannon,Met with Foreign Affairs Minister Eamon Gilmore while returning to the United States.,"March 6, 2013",2013,2015
Israel,Jerusalem,Accompanied President Obama.,"March 20–22, 2013",2013,2015
Palestinian Authority,Ramallah,Accompanied President Obama.,"March 21, 2013",2013,2015
Jordan,Amman,Accompanied President Obama.,"March 22–24, 2013",2013,2015
Iraq,Baghdad,Met with President Nouri al-Maliki and Iraqi political leaders.,"March 24–25, 2013",2013,2015
Afghanistan,Kabul,Met with President Hamid Karzai.,"March 25–26, 2013",2013,2015
France,Paris,Met with Foreign Minister Laurent Fabius and addressed French business leaders.,"March 26–27, 2013",2013,2015
Turkey,Istanbul,Met with Foreign Minister Ahmed Davutoglu.,"April 7, 2013",2013,2015
Israel,"Jerusalem, Tel Aviv","Met with President Shimon Peres, Prime Minister Benjamin Netanyahu, and Palestinian Authority Prime Minister Salam Fayyad.","April 7–9, 2013",2013,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"April 7, 2013",2013,2015
United Kingdom,London,Attended the G=8 Foreign Ministers Meeting.,"April 10–11, 2013",2013,2015
"Korea, Republic of",Seoul,Met with President Park Gyeun-hye and Prime Minister Yun Byun-se. Addressed the American Chamber of Commerce.,"April 12–13, 2013",2013,2015
"China, People’s Republic of",Beijing,"Met with President Xi Jinping, Premier Li Liqiang, and Foreign Minister Wang Yi.","April 13–14, 2013",2013,2015
Japan,Tokyo,Met with Foreign Minister Fumio Kishida.,"April 14, 2013",2013,2015
Turkey,Istanbul,Met with Foreign Minister Ahmed Davutoglu and attended a ministerial meeting of the Friends of the Syrian People Core Group. Also met with Palestinian Authority President Mahmoud Abbas and Ecumenical Patriarch Bartholomew.,"April 20–21, 2013",2013,2015
Belgium,Brussels,Attended a NATO Foreign Minister’s Meeting. Also attended a NATO-Russia Council Ministerial meeting. Signed agreement with Lithuania on countering nuclear smuggling. Met with Afghan President Hamad Karzai and Pakistani General Ashfaq Kayani.,"April 21–24, 2013",2013,2015
Russia,Moscow,Met with President Vladimir Putin and Foreign Minister Sergey Lavrov.,"May 7–8, 2013",2013,2015
Italy,Rome,"Met with Foreign Minister Emma Bonino, Jordanian Foreign Minister Nasser Judeh, and Israeli Justice Minister Tzipi Livni.","May 8–9, 2013",2013,2015
Sweden,"Stockholm, Kiruna",Met with Prime Minister Fredrik Reinfeldt and Foreign Minister Carl Bildt. Attended the Arctic Council Ministerial Meeting at Kiruna.,"May 14–15, 2013",2013,2015
Oman,Muscat,Met with Sultan Qaboos bin Said al Said and Defense Minister Said Badr al-Busaidi.,"May 21–22, 2013",2013,2015
Jordan,Amman,Met with King Abdullah II and Foreign Minister Nasser Judeh. Attended a London Eleven plenary meeting.,"May 22, 2013",2013,2015
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu and President Shimon Peres.,"May 23–24, 2013",2013,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"May 23–24, 2013",2013,2015
Ethiopia,Addis Ababa,Attended the African Union Summit and commemorated the Golden Jubilee of the Organization of African Unity.,"May 24–26, 2013",2013,2015
Jordan,Amman,Attended the World Economic Forum.,"May 26–27, 2013",2013,2015
France,Paris,Met with French Foreign Minister Laurent Fabius and Russian Foreign Minister Sergey Lavrov.,"May 27–28, 2013",2013,2015
Guatemala,Guatemala City,Attended the OAS General Assembly.,"June 4–5, 2013",2013,2015
Qatar,Doha,"Attended the London Eleven Plenary Meeting and met with Heir Apparent Sheikh Tamin al-Thani, Prime Minister/Foreign Minister Sheikh Hamad al-Thani and Amir Hamad al-Thani.","June 22–23, 2013",2013,2015
India,New Delhi,Attended the Fourth Annual U.S.-India Strategic Dialogue and the Second U.S.-India Education Dialogue.,"June 23–25, 2013",2013,2015
Saudi Arabia,Jeddah,Met with Foreign Minister Prince Saud al-Faisal.,"June 25–26, 2013",2013,2015
Kuwait,Kuwait City,Met with Amir Sheikh Sabah al-Ahmed al-Sabah and Deputy Prime Minister/Foreign Minister Sheikh Sabah Khalid al-Sabah.,"June 26, 2013",2013,2015
Jordan,Amman,Met with King Abdullah II and Palestinian Authority President Mahmoud Abbas.,"June 27, 2013",2013,2015
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu.,"June 27–30, 2013",2013,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"June 28, 2013",2013,2015
Jordan,Amman,Met with King Abdullah II and Palestinian Authority President Mahmoud Abbas.,"June 29, 2013",2013,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"June 30, 2013",2013,2015
Brunei,Bandar Seri Begawan,"Attended the ASEAN-U.S. Ministerial, Lower Mekong Initiative and Friends of the Lower Mekong Ministerial Meetings, the 20th ASEAN Regional Forum, and the 3rd East Asia Summit Foreign Ministers Meeting.","June 30–July 2, 2013",2013,2015
Jordan,Amman,Met with Foreign Minister Nasser Judeh and Palestinian Authority President Mahmoud Abbas. Attended an Arab League Peace Initiative Meeting. Visited the Za’atri Refugee Camp.,"July 16–19, 2013",2013,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas and chief negotiator Saeb Erekat.,"July 19, 2013",2013,2015
Pakistan,Islamabad,"Met with President Asif Zardari, Prime Minister Nawaz Sharif, National Security Adviser Sartaj Aziz. Visited Zero Point Power Plant.","July 31–August 2, 2013",2013,2015
United Kingdom,London,Met with United Arab Emirates Foreign Minister Abdullah bin Zayed.,"August 2, 2013",2013,2015
Colombia,Bogota,"Met with President Juan Manuel Santos, Foreign Minister Maria Angela Holguin, Defense Minister Juan Carlos Pinzon, and Colombian Peace Negotiators.","August 12–13, 2013",2013,2015
Brazil,Brasilia,"Met with President Dilma Roussef, Foreign Minister Antonio Patriota, and Education Minister Aloizio Mercadante.","August 13, 2013",2013,2015
Lithuania,Vilnius,Met with the EU Foreign Ministers and with Lithuanian President Dalia Gribauskaite and Foreign Minister Linas Linkevicius.,"September 7, 2013",2013,2015
France,Paris,Met with Foreign Minister Laurent Fabius and the Ministerial Delegation of the Arab Peace Initiative.,"September 7–8, 2013",2013,2015
