destination country,destination city,description,time,year,year_aggregate
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,"January 9–12, 1866",1866,1870
Dominican Republic,Santo Domingo,Met with President Baez and his Cabinet.,"January 14, 1866",1866,1870
Haiti,Port-au-Prince,Met with President Geffrand and his Cabinet.,"January 16–17, 1866",1866,1870
Italy,"Genoa, Nervi",Vacation trip for health reasons. Left U.S. March 17.,"April 3–29, 1905",1905,1905
Germany,Nauheim,Vacation trip for health reasons.,"April 30–May 21, 1905",1905,1905
France,Paris,Vacation trip for health reasons.,"May 22–June 1, 1905",1905,1905
United Kingdom,"Newfoundland, Labrador",Gathered information on the fisheries question during a vacation trip.,"August 1–31, 1905",1905,1905
Brazil,"Para, Pernambuco, Bahia, Rio de Janeiro, Sao Paulo, Santos",Attended Third International Conference of American States. Left U.S. July 4.,"July 17–August 7, 1906",1906,1910
Uruguay,Montevideo,Met with President Batlle y Ordonez and Foreign Minister Romeu; delivered several public addresses.,"August 10–13, 1906",1906,1910
Argentina,"Buenos Aires, Bahia Blanca",Met with President Figueroa and Foreign Minister Montes; delivered several public addresses.,"August 14–21, 1906",1906,1910
Chile,"Lota, Santiago, Valparaiso",Met with President Riesco and Foreign Minister Huneeus; delivered several public addresses.,"August 31–September 4, 1906",1906,1910
Peru,"Callao, Lima",Met with President Pardo and Foreign Minister Prado; delivered several public addresses.,"September 10–16, 1906",1906,1910
Panama,Panama City,Met with President Amador and addressed the National Assembly.,"September 20–21, 1906",1906,1910
Colombia,Cartagena,Met with Foreign Minister Vasquez-Cobo.,"September 24, 1906",1906,1910
Canada,"Montreal, Ottawa",Official visit at the invitation of the Governor-General.,"January 18–22, 1907",1907,1910
Panama,"Colon, Panama City",Met with President Chiari and Foreign Minister Arjona. Left U.S. February 23.,"February 27–29, 1912",1912,1915
Costa Rica,"Limon, San Jose, Puntarenas",Met with President Jimenez and Foreign Minister Castro Quesada.,"March 1–4, 1912",1912,1915
Nicaragua,"Corinto, Managua",Met with President Diaz and Foreign Minister Chamorro; addressed the National Assembly.,"March 5–7, 1912",1912,1915
Honduras,Amapala,Met with Foreign Minister Vasquez.,"March 8–9, 1912",1912,1915
El Salvador,"Acajutla, San Salvador",Met with President Araujo and Foreign Minister Castro Ramirez.,"March 10–13, 1912",1912,1915
Guatemala,"San Jose, Guatemala City, Quirigua, Puerto Barrios",Met with President Estrada Cabrera and Foreign Minister Toledo Herrarte; addressed the Legislature.,"March 14–17, 1912",1912,1915
Venezuela,"La Guaira, Caracas, Porto Cabello",Met with President Gomez and Foreign Minister Matos; delivered several public addresses.,"March 22–25, 1912",1912,1915
Dominican Republic,Santo Domingo,Met with President Victoria.,"March 27–28, 1912",1912,1915
Denmark,St. Thomas,Met with Danish colonial (Virgin Islands) officials.,"March 30, 1912",1912,1915
Haiti,Port-au-Prince,Met with President Leconte and Foreign Minister Leger.,"April 3–4, 1912",1912,1915
Cuba,"Guantanamo, Santiago, Havana",Met with President Gomez and Secretary of State Sanguily; returned to U.S. April 16.,"April 5–13, 1912",1912,1915
United Kingdom,"Kingston, Port Antonio",Met with British colonial officials during unofficial (Jamaica) visit.,"April 8, 1912",1912,1915
United Kingdom,Bridgetown (Barbados),Met with British colonial officials during a refueling stop en route to South America. Left U.S. December 4.,"December 10, 1920",1920,1920
Brazil,Rio de Janeiro,Official visit; repaid visit by President Pessoa.,"December 21–24, 1920",1920,1920
Uruguay,Montevideo,Official visit; repaid 1918 visit by President (then Foreign Minister) Brum.,"December 28–31, 1920",1920,1920
Argentina,Buenos Aires,Official visit.,"January 1–4, 1921",1921,1925
United Kingdom,Bermuda,Vacation. Left U.S. February 15; returned March 6.,"February 17–March 4, 1922",1922,1925
Brazil,Rio de Janeiro,U.S. Special Mission to Brazil. Attended ceremonies commemorating centenary of Brazilian independence. Left U.S. August 24; returned September 23.,"September 5–12, 1922",1922,1925
Canada,Montreal,Addressed meeting of Canadian Bar Association.,"September 4–6, 1923",1923,1925
United Kingdom,London,"As President of the American Bar Association, attended an international law convention. Left U.S. July 12.","July 19–28, 1924",1924,1925
France,Paris,Visited with French international lawyers.,"July 28–31, 1924",1924,1925
Belgium,"Brussels, Malines",Received honorary degrees from the Universities of Brussels and Louvain.,"July 31–August 2, 1924",1924,1925
Canada,Ft. Erie,"Attended dedication of the ""Peace Bridge"" between Buffalo, New York and Ft. Erie.","August 7, 1927",1927,1930
Cuba,Havana,Attended the Sixth International Conference of American States with President Coolidge. Left U.S. January 14; returned January 20.,"January 15–17, 1928",1928,1930
Canada,Ottawa,Official visit.,"February 8–10, 1928",1928,1930
France,Paris,Negotiated and signed the Treaty on the Renunciation of War (Kellogg-Briand Pact). Left U.S. August 19.,"August 24–29, 1928",1928,1930
Ireland,"Kingstown, Dublin",Official visit while returning from Paris.,"August 30–September 3, 1928",1928,1930
United Kingdom,London,Attended the London Naval Conference. Left U.S. January 8; returned April 30.,"January 25–April 22, 1930",1930,1930
Canada,Toronto,Dedicated the Peace Monument during an unofficial visit.,"June 12–14, 1930",1930,1930
Italy,Rome,Discussed the European debt crisis and disarmament with Prime Minister Mussolini and Foreign Minister Grandi. Left U.S. June 27.,"July 9–14, 1931",1931,1935
France,Paris,Met with Premier Laval and Finance Minister Flandin.,"July 15–19, 1931",1931,1935
United Kingdom,London,Attended conference on the German economic crisis.,"July 19–24, 1931",1931,1935
Germany,Berlin,Met with President von Hindenburg and senior German officials.,"July 25–27, 1931",1931,1935
Netherlands,The Hague,Met with Dutch officials.,"July 27, 1931",1931,1935
United Kingdom,"London, Rogart",Met with Prime Minister MacDonald; vacationed in Scotland. Returned to U.S. September 3.,"July 28–August 28, 1931",1931,1935
United Kingdom,London,Chairman of U.S. Delegation to the Monetary and Economic Conference. Left U.S. May 31; returned August 1.,"June 8–July 27, 1933",1933,1935
Brazil,"Rio de Janeiro, Sao Paulo, Santos",Met with President Vargas and Foreign Minister de Mello Franco en route to Inter-American Conference in Montevideo. Delivered several public addresses. Left U.S. November 17.,"November 24–25, 1933",1933,1935
Uruguay,Montevideo,Attended 7th International Conference of American States.,"November 28–December 26, 1933",1933,1935
Argentina,Buenos Aires,Met with President Justo and addressed the American Club. Toured Argentine Lakes District en route to Chile.,"December 27–31, 1933",1933,1935
Chile,"Santiago, Valparaiso, Antofagasta","Met with President Alessandri, addressed the Senate, and delivered several public addresses.","January 1–8, 1934",1934,1935
Peru,"Mollendo, Callao, Lima, Talara",Met with President Benvenidez and Foreign Minister Solon Polo and delivered several public addresses.,"January 9–13, 1934",1934,1935
Ecuador,"La Libertad, Manta, Bahia",Met with Ecuadorean officials and delivered public addresses.,"January 13–14, 1934",1934,1935
Colombia,Buenaventura,Met with Colombian officials and delivered public addresses.,"January 15, 1934",1934,1935
Panama,Panama City,Met with President Arias and Foreign Minister Arosemena. Returned to U.S. January 19.,"January 17, 1934",1934,1935
Brazil,"Rio de Janeiro, Santos",Met with President Vargas and Foreign Minister Macedo Soares en route to Inter-American Conference for the Maintenance of Peace. Left U.S. November 7.,"November 19–21, 1936",1936,1940
Uruguay,Montevideo,Met with President Terra and delivered a public address.,"November 24, 1936",1936,1940
Argentina,Buenos Aires,Attended Inter-American Conference for the Maintenance of Peace.,"November 25–December 26, 1936",1936,1940
Brazil,"Santos, Rio de Janeiro",Met with President Vargas and delivered public addresses while returning to U.S.,"December 29–31, 1936",1936,1940
United Kingdom,Port of Spain (Trinidad),"Stopped while returning to to U.S. Returned January 13, 1937.","January 8, 1937",1937,1940
Canada,Toronto,Returned visit by Prime Minister Mackenzie King.,"October 22–23, 1937",1937,1940
Panama,Panama City,Met with President Arosemena and addressed a conference of Foreign Service officers while en route to conference in Lima. Left U.S. November 25.,"November 30–December 1, 1938",1938,1940
Colombia,Buenaventura,Delivered a public address en route to conference in Lima.,"December 2, 1938",1938,1940
Ecuador,Guayaquil,Delivered a public address en route to conference in Lima.,"December 4, 1938",1938,1940
Peru,"Callao, Lima",Attended 8th International Conference of American States.,"December 7–27, 1938",1938,1940
Ecuador,Guayaquil,Delivered a public address while returning to U.S.,"December 30, 1938",1938,1940
Colombia,Buenaventura,Delivered a public address while returning to U.S.,"January 1, 1939",1939,1940
Panama,Panama City,"Met with President Arosemena. Returned to U.S. January 9, 1939.","January 3, 1939",1939,1940
Cuba,Havana,Attended Conference of American States. Left U.S. July 19; returned August 1.,"July 20–30, 1940",1940,1940
Canada,Quebec,Attended Quebec Conference with President Roosevelt.,"August 20–24, 1943",1943,1945
Morocco,Casablanca,Disembarked en route to Moscow Conference. Left U.S. October 7.,"October 15, 1943",1943,1945
France,Algiers (Algeria),Met with Generals Eisenhower and De Gaulle.,"October 15, 1943",1943,1945
Egypt,Cairo,"Met with King Farouk, King George of Greece and King Peter of Yugoslavia.","October 16, 1943",1943,1945
Iran,Tehran,Met with Shah Mohammed Reza Pahlavi and with British Foreign Secretary Eden.,"October 17, 1943",1943,1945
Morocco,Marrakesh,Preparations for the Malta and Yalta Conferences. Left U.S. January 25.,"January 26–30, 1945",1945,1945
Italy,Naples,Discussed postwar issues and policy toward Italy with Presidential adviser Harry Hopkins.,"January 30–31, 1945",1945,1945
United Kingdom,Malta,Attended the Malta Conference.,"January 31–February 2, 1945",1945,1945
U.S.S.R.,"Yalta, Moscow",Accompanied President Roosevelt to the Crimea Conference. Met afterward (February 11-14) with Soviet Foreign Minister Molotov.,"February 3–14, 1945",1945,1945
Egypt,"Cairo, Alexandria",Met with Haile Selassie; conferred with President Roosevelt.,"February 14–15, 1945",1945,1945
Liberia,Monrovia,Met with President Tubman.,"February 16–17, 1945",1945,1945
Brazil,Rio de Janeiro,Met with President Vargas.,"February 17–19, 1945",1945,1945
Guatemala,Guatemala City,Met with the Presidential Triumvirate and Secretary of Foreign Relations Munoz Meany.,"February 20, 1945",1945,1945
Mexico,Chapultepec,Attended Inter-American Conference on the Problems of War and Peace.,"February 20–March 8, 1945",1945,1945
Belgium,"Antwerp, Brussels",Disembarked en route to the Potsdam Conference. Left U.S. July 6.,"July 15, 1945",1945,1945
Germany,Potsdam,Accompanied President Truman to the Tripartite Conference of Berlin (Potsdam Conference).,"July 17–25, 1945",1945,1945
United Kingdom,Plymouth,Accompanied President Truman to a meeting with King George VI. Returned to U.S. August 7.,"August 2, 1945",1945,1945
United Kingdom,London,Attended Council of Foreign Ministers meeting.,"September 5–October 3, 1945",1945,1945
U.S.S.R.,Moscow,Ministers meeting. Left U.S. December 12; returned December 29.,"December 14–27, 1945",1945,1945
United Kingdom,London,Attended first session of the UN General Assembly.,"January 4–26, 1946",1946,1950
France,Paris,Attended Second Session of the Council of Foreign Ministers.,"April 25–May 18, 1946",1946,1950
France,Paris,Attended second part of the Second Session of the Council of Foreign Ministers.,"June 13–July 13, 1946",1946,1950
France,Paris,Met with President Auriol and senior officials. Laid a wreath at the tomb of France's Unknown Soldier. Left U.S. March 5.,"March 6–7, 1947",1947,1950
Germany,West Berlin,Conferred with U.S. military government officials.,"March 7–9, 1947",1947,1950
U.S.S.R.,Moscow,Attended Fourth Session of the Council of Foreign Ministers.,"March 10–April 25, 1947",1947,1950
Germany,West Berlin,Held a press conference while returning to U.S. Returned April 26.,"April 25, 1947",1947,1950
Brazil,Petropolis,Attended Inter-American Conference for the Maintenance of Continental Peace.,"August 15–September 3, 1947",1947,1950
United Kingdom,London,Attended Fifth Session of the Council of Foreign Ministers.,"November 25–December 15, 1947",1947,1950
Colombia,Bogota,Attended Ninth International Conference of American States.,"March 30–April 25, 1948",1948,1950
France,Paris,Attended Third Session of the UN General Assembly. Returned to U.S. October 9-11 to confer with President Truman on the Berlin Crisis.,"September 20–October 9, 1948",1948,1950
France,Paris,Attended Third Session of the UN General Assembly.,"October 12–16, 1948",1948,1950
Greece,Athens,Met with Prime Minister Sophoulis and senior Greek officials.,"October 16–18, 1948",1948,1950
Italy,"Rome, Castel Gandolfo","Met with Prime Minister De Gasperi, Foreign Minister Sforza, and Pope Pius XII.","October 19, 1948",1948,1950
France,Paris,Attended Third Session of the UN General Assembly.,"October 19–29, 1948",1948,1950
United Kingdom,London,Met informally with British officials during a private visit.,"October 29–November 1, 1948",1948,1950
France,Paris,Attended 6th Session of the Council of Foreign Ministers.,"May 20–June 20, 1949",1949,1950
France,Paris,"Met with the Foreign Ministers of the United Kingdom, France, Belgium, Luxembourg, and the Netherlands.","November 9–11, 1949",1949,1950
Germany,"Frankfurt, Bonn",Met with President Heuss and Chancellor Adenauer.,"November 11–13, 1949",1949,1950
Germany,Berlin,Met with West Berlin officials and the commandants of the occupation sectors. Briefly visited East Berlin.,"November 14, 1949",1949,1950
France,Paris,Conferred with French; left U.S. May 6.,"May 7–8, 1950",1950,1950
United Kingdom,London,Attended 6th Session of the North Atlantic Council.,"May 9–19, 1950",1950,1950
Belgium,Brussels,Attended NATO Council Meeting.,"December 18–20, 1950",1950,1950
Canada,Ottawa,Attended 7th Session of the North Atlantic Council.,"September 15–20, 1951",1951,1955
France,Paris,Attended Sixth Session of the UN General Assembly. Left U.S. October 25.,"November 6–23, 1951",1951,1955
Italy,Rome,Attended 8th Session of the North Atlantic Council.,"November 23–December 4, 1951",1951,1955
United Kingdom,London,Attended the funeral of King George VI and conferred with the British and French Foreign Ministers and with West German Chancellor Adenauer.,"February 13–19, 1952",1952,1955
Portugal,Lisbon,Attended 9th Session of the North Atlantic Council.,"February 20–26, 1952",1952,1955
Germany,Bonn,Signed Bonn Agreements providing for West German membership in NATO and the European Defense Community.,"May 23–26, 1952",1952,1955
France,Paris,"Signed Protocol to the North Atlantic Treaty regarding the European Defense Community, May 28.","May 26–29, 1952",1952,1955
United Kingdom,"London, Oxford",Met with British and French Foreign Ministers. Received honorary degree from Oxford University.,"June 23–28, 1952",1952,1955
Germany,West Berlin,Spoke at cornerstone laying for the American Memorial Library.,"June 29, 1952",1952,1955
Austria,Vienna,Met with Austrian officials.,"June 29–30, 1952",1952,1955
France,Dakar (Senegal),Overnight stop en route to Brazil.,"July 1, 1952",1952,1955
Brazil,"Pernambuco, Rio de Janeiro, Sao Paulo, Belem",Official visit. Addressed the Brazilian Congress.,"July 2–8, 1952",1952,1955
United Kingdom,Port-of-Spain (Trinidad),Overnight stop while returning to the U.S.,"July 8, 1952",1952,1955
Canada,Ottawa,Met with Canadian officials and attended a Cabinet meeting.,"November 21–22, 1952",1952,1955
Italy,Rome,Met with senior Italian officials.,"January 31–February 1, 1953",1953,1955
France,Paris,Met with senior French officials and with representatives of NATO and the Organization for European Economic Cooperation.,"February 1–3, 1953",1953,1955
United Kingdom,London,Met with Prime Minister Churchill and Foreign Secretary Eden.,"February 3–5, 1953",1953,1955
"Germany, Federal Republic of",Bonn,Met with President Heuss and Chancellor Adenauer.,"February 5–6, 1953",1953,1955
Netherlands,Amsterdam,Met with Queen Juliana and Foreign Minister Beyen.,"February 6, 1953",1953,1955
Belgium,Brussels,Met with senior Belgian officials.,"February 7–8, 1953",1953,1955
Luxembourg,Luxembourg,Met with representatives of the European Coal and Steel Community.,"February 8, 1953",1953,1955
France,Paris,Attended 11th meeting of the North Atlantic Council.,"April 21–26, 1953",1953,1955
Egypt,Cairo,"Met with Prime Minister Naguib, Foreign Minister Fawzi, and Egyptian military leaders. Attended regional conference of U.S. Ambassadors.","May 11–13, 1953",1953,1955
Israel,"Tel Aviv, Jerusalem",Met with Prime Minister Ben Gurion and Foreign Minister Sharett.,"May 13–14, 1953",1953,1955
Jordan,Amman,Met with Prime Minister Mulqui and Foreign Minister Khalidy.,"May 14–15, 1953",1953,1955
Syria,Damascus,Met with President Shishakli.,"May 15–16, 1953",1953,1955
Lebanon,Beirut,Met with President Chamoun and senior Lebanese officials.,"May 16–17, 1953",1953,1955
Iraq,Baghdad,Met with Prime Minister Madfai and senior Iraqi officials.,"May 17–18, 1953",1953,1955
Saudi Arabia,"Riyadh, Dhahran",Met with King Ibn Saud and senior Saudi officials.,"May 18–19, 1953",1953,1955
India,New Delhi,Met with Prime Minister Nehru and senior Indian officials.,"May 20–22, 1953",1953,1955
Pakistan,Karachi,Met with Prime Minister Ali and senior Pakistani officials.,"May 22–25, 1953",1953,1955
Turkey,"Ankara, Istanbul","Met with President Bayer, Prime Minister Menderes, and senior Turkish officials.","May 25–27, 1953",1953,1955
Greece,Athens,Met with Prime Minister Papagos and senior Greek officials.,"May 27–28, 1953",1953,1955
Libya,Tripoli,Met with Prime Minister Muntasser and senior Libyan officials.,"May 28, 1953",1953,1955
Japan,Tokyo,Stopped en route to Korea.,"August 2, 1953",1953,1955
"Korea, Republic of",Seoul,Signed Korean Mutual Defense Treaty.,"August 3–7, 1953",1953,1955
Japan,Tokyo,Met with Prime Minister Yoshida while returning to U.S. Announced return of the Amami Islands to Japan. Returned to U.S. August 10.,"August 8, 1953",1953,1955
United Kingdom,London,Met with the British and French Foreign Ministers.,"October 15–18, 1953",1953,1955
United Kingdom,Bermuda,Accompanied President Eisenhower to the Three-Power Conference.,"December 4–8, 1953",1953,1955
France,Paris,Attended 12th NATO Foreign Ministers Meeting.,"December 12–16, 1953",1953,1955
Germany,Berlin,"Attended Big Four Foreign Ministers Meeting. Sessions of February 1-6, 15, and 17 were held in East Berlin.","January 22–February 18, 1954",1954,1955
"Germany, Federal Republic of",Bonn,Met with Chancellor Adenauer.,"February 18, 1954",1954,1955
Venezuela,Caracas,Attended 10th Inter-American Conference.,"February 28–March 13, 1954",1954,1955
United Kingdom,London,Discussed the situation in Indochina with Foreign Secretary Eden.,"April 11–13, 1954",1954,1955
France,Paris,Discussed the situation in Indochina with Foreign Minister Bidault.,"April 13–14, 1954",1954,1955
France,Paris,Attended meeting of the North Atlantic Council.,"April 21–24, 1954",1954,1955
Switzerland,Geneva,Attended Geneva Conference on Indochina and Korea.,"April 24–May 3, 1954",1954,1955
Italy,Milan,Met with Prime Minister Scelba while returning to U.S. Returned May 4.,"May 3, 1954",1954,1955
France,Paris,Conferred with Prime Ministers Eden and Mendes-France on the Genera Conference.,"July 13–15, 1954",1954,1955
Philippines,Manila,Signed the Southeast Asia Collective Defense Treaty (Manila Pact).,"September 3–9, 1954",1954,1955
Republic of China,Taipei,Met with President Chiang Kai-shek while returning from Manila.,"September 9, 1954",1954,1955
Japan,Tokyo,Met with Prime Minister Yoshida and Foreign Minister Okazaki en route from Manila.,"September 9–10, 1954",1954,1955
"Germany, Federal Republic of",Bonn,Met with Chancellor Adenauer.,"September 16–17, 1954",1954,1955
United Kingdom,London,Conferred with British officials during return from Bonn.,"September 17–18, 1954",1954,1955
United Kingdom,London,Attended Nine-Power Conference on Germany.,"September 26–October 3, 1954",1954,1955
France,Paris,"Attended NATO, Four- and Nine-Power Conferences. Returned to U.S. October 25.","October 20–23, 1954",1954,1955
France,Paris,Attended North Atlantic Council meeting.,"December 15–19, 1954",1954,1955
United Kingdom,The Bahamas,Vacation.,"January 29–February 6, 1955",1955,1955
Philippines,Manila,Met with President Magsaysay en route to Bangkok.,"February 21–22, 1955",1955,1955
Thailand,Bangkok,Attended First Meeting of the SEATO Ministerial Council.,"February 22–26, 1955",1955,1955
Burma,Rangoon,Met with Premier U Nu and senior Burmese officials.,"February 26, 1955",1955,1955
Laos,Vientiane,Met with Crown Prince Savang and senior Laotian officials.,"February 27, 1955",1955,1955
Cambodia,Phnom Penh,Met with King Sihanouk and senior Cambodian officials.,"February 28, 1955",1955,1955
Vietnam,Saigon,Met with Premier Diem and senior Vietnamese officials.,"February 28–March 1, 1955",1955,1955
Philippines,Manila,Attended the opening session of a Chiefs of Mission Conference.,"March 1–2, 1955",1955,1955
Republic of China,Taipei,Exchanged instruments of ratification of the Mutual Defense Treaty.,"March 3, 1955",1955,1955
Canada,Ottawa,Official visit.,"March 17–19, 1955",1955,1955
France,Paris,Attended North Atlantic Council meeting.,"May 7–12, 1955",1955,1955
Austria,Vienna,Signed the Austrian State Treaty.,"May 13–15, 1955",1955,1955
France,Paris,Met with the French and British Foreign Ministers and attended a North Atlantic Council meeting.,"July 14–16, 1955",1955,1955
Switzerland,Geneva,Accompanied President Eisenhower to the Heads of Government Conference.,"July 16–23, 1955",1955,1955
Canada,Ottawa,Attended meeting of the Joint U.S.-Canadian Commission on Trade and Economic Affairs.,"September 25–26, 1955",1955,1955
Italy,Rome,Met with President Gronchi and Foreign Minister Martino. Left Washington October 21.,"October 22–23, 1955",1955,1955
Vatican City,,Audience with Pope Pius XII.,"October 23, 1955",1955,1955
France,Paris,Attended working group and NATO Ministerial Meetings.,"October 23–26, 1955",1955,1955
Switzerland,Geneva,"Attended meeting of the Foreign Ministers of the United Kingdom, France, the Soviet Union, and the United States.","October 26–November 16, 1955",1955,1955
Spain,Madrid,Met with Generalissimo Franco.,"November 1, 1955",1955,1955
Austria,Vienna,Unofficial visit. Attended opening of the Vienna State Opera.,"November 5–6, 1955",1955,1955
Yugoslavia,"Pula, Brioni",Met with President Tito.,"November 6, 1955",1955,1955
France,Paris,Attended NATO Ministerial Meeting.,"December 14–17, 1955",1955,1955
United Kingdom,Malta,Stopped en route to Pakistan.,"March 3–4, 1956",1956,1960
Pakistan,Karachi,Attended Second SEATO Council Meeting.,"March 5–9, 1956",1956,1960
India,New Delhi,Met with Prime Minister Nehru and senior Indian officials.,"March 9–11, 1956",1956,1960
Ceylon,Colombo,Met with Prime Minister Kotelawala.,"March 11, 1956",1956,1960
Indonesia,Djakarta,Met with President Sukarno and senior Indonesian officials.,"March 12–13, 1956",1956,1960
Thailand,Bangkok,Met with Premier Pibul and senior Thai officials.,"March 13–14, 1956",1956,1960
Vietnam,Saigon,Met with President Diem and senior Vietnamese officials.,"March 14–15, 1956",1956,1960
Philippines,Manila,Met with President Magsaysay and senior Philippine officials.,"March 15–16, 1956",1956,1960
Republic of China,Taipei,Met with President Chiang and senior Chinese Nationalist officials.,"March 16–17, 1956",1956,1960
"Korea, Republic of",Seoul,Met with President Rhee and senior Korean officials.,"March 17–18, 1956",1956,1960
Japan,Tokyo,Met with Premier Hatoyama and Foreign Minister Shigemitsu.,"March 18–19, 1956",1956,1960
France,Paris,Attended NATO Ministerial Meeting.,"May 2–7, 1956",1956,1960
Panama,Panama City,Accompanied President Eisenhower to a meeting of the Presidents of the American Republics.,"July 21–24, 1956",1956,1960
Colombia,Bogota,Met with President Rojas Pinilla and senior Colombian officials.,"July 24–25, 1956",1956,1960
Ecuador,Quito,Met with Foreign Minister Villagomez Yepez.,"July 25, 1956",1956,1960
Peru,Lima,Attended the inauguration of President Prado Ugarteche.,"July 26–28, 1956",1956,1960
United Kingdom,London,Attended Tripartite Conference on the Suez Canal with the British and French Foreign Ministers.,"August 1–2, 1956",1956,1960
United Kingdom,London,Attended 22-Power conference on Suez Canal.,"August 15–24, 1956",1956,1960
United Kingdom,London,Attended Second Suez Conference.,"September 18–21, 1956",1956,1960
France,Paris,Attended NATO Ministerial Meeting.,"December 9–14, 1956",1956,1960
Australia,Canberra,Attended Third Meeting of SEATO Council of Ministers. Left Washington March 6; returned March 17.,"March 9–14, 1957",1957,1960
United Kingdom,Bermuda,Attended a meeting between President Eisenhower and Prime Minister Macmillan.,"March 21–24, 1957",1957,1960
"Germany, Federal Republic of",Bonn,Attended NATO Ministerial Meeting.,"May 2–4, 1957",1957,1960
France,Paris,Met with Prime Minister Mollet and attended meeting of U.S. Chiefs of Mission to European countries.,"May 5–6, 1957",1957,1960
Canada,"Kingston, Ottawa",Personal and private visit. Met informally with Prime Minister Diefenbaker.,"July 26–28, 1957",1957,1960
United Kingdom,London,Attended UN disarmament conference.,"July 29–August 2, 1957",1957,1960
France,Paris,Accompanied President Eisenhower to meeting of NATO Heads of Government.,"December 13–20, 1957",1957,1960
Spain,Madrid,Met with Generalissimo Franco and senior Spanish officials while returning from Paris.,"December 20, 1957",1957,1960
Morocco,Marrakesh,"Met with King Mohammed V, Foreign Minister Balafrej, and senior Moroccan officials.","January 23, 1958",1958,1960
Iran,Tehran,Met with Shah Mohammed Reza Pahlavi and senior Iranian officials.,"January 24–26, 1958",1958,1960
Turkey,Ankara,Attended Baghdad Pact Ministerial Meeting.,"January 26–30, 1958",1958,1960
Philippines,Manila,Attended Fourth Meeting of the SEATO Ministerial Council. Left U.S. March 7.,"March 10–13, 1958",1958,1960
Republic of China,Taipei,Met with President Chiang and attended a conference of U.S. Chiefs of Mission to Asian countries. Returned March 18.,"March 14–16, 1958",1958,1960
Denmark,Copenhagen,Attended NATO Ministerial Meeting.,"May 3–8, 1958",1958,1960
Germany,West Berlin,Met with city and U.S. officials.,"May 8, 1958",1958,1960
France,Paris,Attended the opening session of a conference of U.S. Chiefs of Mission to European countries.,"May 8–10, 1958",1958,1960
France,Paris,Discussed nuclear armaments with President De Gaulle.,"July 4–6, 1958",1958,1960
Canada,Ottawa,Accompanied President Eisenhower on an informal visit.,"July 8–11, 1958",1958,1960
"Germany, Federal Republic of",Bonn,Met with Chancellor Adenauer on way to meeting of the Baghdad Pact.,"July 26, 1958",1958,1960
United Kingdom,London,Attended the 5th Ministerial Meeting of the Baghdad Pact.,"July 26–28, 1958",1958,1960
Brazil,"Rio de Janeiro, Brasilia",Official visit.,"August 4–6, 1958",1958,1960
Italy,Rome,Met with President Gronchi and senior Italian officials.,"October 18–19, 1958",1958,1960
Vatican City,,Attended funeral ceremonies for Pope Pius XII.,"October 19, 1958",1958,1960
United Kingdom,Brize Norton,Met with Foreign Secretary Lloyd en route to Taipei.,"October 19, 1958",1958,1960
Republic of China,Taipei,Consultations concerning the Mutual Defense Treaty.,"October 21–23, 1958",1958,1960
Mexico,"Mexico, D.F.",Attended the inauguration of President Lopez Mateos.,"November 30–December 2, 1958",1958,1960
France,Paris,Attended NATO Ministerial Meeting and a Big Four Ministers meeting.,"December 13–18, 1958",1958,1960
United Kingdom,High Rock (Jamaica),Vacation.,"December 19, 1958–January 3, 1959",1958,1960
United Kingdom,London,Met with Prime Minister Macmillan and Foreign Secretary Lloyd.,"February 4–5, 1959",1959,1960
France,Paris,"Met with President De Gaulle, Foreign Minister Couve de Murville, and NATO Secretary General Spaak.","February 6–7, 1959",1959,1960
France,Paris,Attended a meeting of Western Foreign Ministers.,"April 27–May 2, 1959",1959,1960
Switzerland,Geneva,"Attended a Conference of the Foreign Ministers of France, the United Kingdom, the Soviet Union, and the United States on the questions of Germany and Berlin.","May 11–June 20, 1959",1959,1960
Canada,Ottawa,Informal meeting with Prime Minister Diefenbaker and Secretary for External Affairs Green.,"July 11, 1959",1959,1960
Switzerland,Geneva,Attended second Conference of Foreign Ministers on the German question.,"July 13–August 5, 1959",1959,1960
Germany,West Berlin,Dedicated John Foster Allee.,"July 25, 1959",1959,1960
Chile,Santiago,Attended the 5th Meeting of Consultation of Ministers of Foreign Affairs of the American States.,"August 11–18, 1959",1959,1960
"Germany, Federal Republic of",Bonn,Accompanied President Eisenhower to a meeting with Chancellor Adenauer.,"August 26–27, 1959",1959,1960
United Kingdom,"London, Chequers",Accompanied President Eisenhower on an informal visit. Also met with Spanish Foreign Minister Castiella.,"August 27–September 2, 1959",1959,1960
France,Paris,Accompanied President Eisenhower to meeting of the North Atlantic Council.,"September 2–4, 1959",1959,1960
France,Paris,"Attended NATO Ministerial Meeting and a meeting of the Heads of State and Government of France, Germany, the United Kingdom, and the United States.","December 13–22, 1959",1959,1960
Brazil,"Brasilia, Rio de Janeiro, Sao Paulo",Accompanied President Eisenhower on a good will tour.,"February 23–26, 1960",1960,1960
Argentina,"Buenos Aires, Mar del Plata, San Carlos de Bariloche",Accompanied President Eisenhower on a good will tour.,"February 26–29, 1960",1960,1960
Chile,Santiago,Accompanied President Eisenhower on a good will tour.,"February 29–March 2, 1960",1960,1960
