,pagerank,eigenvector,katz,betweenness,closeness,degree,in_degree,out_degree,node_id,year
298,0.6666680536164278,0.7837833518144854,0.8812060757197909,0.0,0.4229508196721312,0.625,0.6666666666666666,0.75,230,1904
299,0.6670674959744367,0.9430049716200818,0.9072006307550586,0.0,0.7430865298840321,0.7999999999999998,0.7272727272727272,0.8181818181818181,325,1914
300,0.7408561250383321,0.8613864729228129,0.9293993941356171,0.04545454545454545,0.6994565217391304,0.6666666666666666,0.7777777777777777,0.6000000000000001,300,1894
301,0.9197834338384672,0.7609170095861357,0.685694997480007,1.0,0.8615384615384611,0.8571428571428572,0.8571428571428572,0.7142857142857144,640,1899
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,1899
303,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,235,1840
304,0.0,0.0,0.0,0.0,0.046666666666666634,0.0,0.0,0.0,630,1879
305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,329,1827
306,0.0,0.0,0.0,0.14476542137271942,0.9999999999999999,0.125,0.0,0.5,329,1832
307,0.0,0.0,0.4846533324442699,1.0089247113788859e-22,0.9999999999999999,0.014598540145985403,0.02238805970149254,0.0,60,1985
308,0.0,0.00526664609283109,0.0,0.0,0.11785714285714288,0.0,0.0,0.11111111111111112,140,1909
309,0.0,0.10392593669891671,0.0,0.7858793864257195,0.8769841269841271,0.28571428571428575,0.0,0.75,640,1817
310,0.0058952272721609945,0.018315681887916845,0.4512344125016595,3.483938896137312e-17,1.0,0.030674846625766868,0.025641025641025644,0.01910828025477707,56,1995
311,0.0062983236430367885,0.01765071745954905,0.3765426759957288,1.3069676805765215e-27,0.9999999999999998,0.017857142857142856,0.026143790849673203,0.0062499999999999995,57,2000
312,0.009558307428672128,0.023763288047046336,0.6009685710647246,1.6116034918315448e-18,1.0,0.028571428571428567,0.021897810218978103,0.022900763358778626,58,1990
313,0.022971752597318006,0.056531276315154075,0.6632811645589343,5.2384902212253305e-23,1.0,0.034482758620689655,0.03205128205128205,0.03508771929824562,55,2005
314,0.12348710770937493,0.05984420550649784,0.15830859343657222,0.0,0.0,0.0,0.125,0.0,630,1884
315,0.12699410265545613,0.044575425529334856,0.14119621348800376,0.0,0.0,0.0,0.125,0.0,630,1889
316,0.17363040545557473,0.3408484815656789,0.47618429836835635,6.654921879536864e-12,0.0,0.25862068965517243,0.22321428571428575,0.24324324324324328,92,1970
317,0.4360270738519644,0.6294369418508562,0.5243002555506407,5.257982408439303e-10,0.0,0.5190839694656488,0.5,0.5166666666666667,70,1975
318,0.4587292380416802,0.7074990465456364,0.37495681361660566,0.0008313850984081097,0.0,0.6923076923076923,0.5694444444444444,0.6953125,70,1980
319,0.46466287318479704,0.9075127870474905,0.9500299536420134,0.06890322454874352,0.6022727272727273,0.7000000000000001,0.6000000000000001,0.8,325,1920
320,0.5019503034958537,0.6295446545972341,0.5707302859367906,0.07483432647482881,0.6043657366118829,0.49999999999999994,0.5263157894736842,0.5263157894736842,160,1940
321,0.5147673326746032,0.6799793061900734,0.8222260212338135,0.0,0.32293117860128173,0.49999999999999994,0.5384615384615384,0.49999999999999994,255,1925
322,0.6292687423461226,0.759596471066406,0.30661781976544333,0.1503981126511354,0.6578301423662247,0.5714285714285714,0.6428571428571428,0.6153846153846154,255,1930
323,0.6544405380505138,0.8056716733718164,0.8741672858875483,0.0,0.5654999999999999,0.5555555555555556,0.6666666666666666,0.6000000000000001,365,1894
324,0.7492352644462871,0.9758361419738489,0.9999999999999999,0.0,0.7159555815312686,0.7999999999999998,0.8181818181818181,0.8181818181818181,365,1914
325,0.780504680171527,0.8795624450052454,0.021173838105004394,0.2061384846073175,0.6443189837685251,0.75,0.8125,0.7333333333333334,220,1935
326,0.8686196046383239,0.8067832267594038,0.7550668782588977,1.0,0.7605442176870747,0.875,0.7777777777777777,1.0,640,1904
327,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,329,1840
328,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.375,0.0,1.0,640,1832
329,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.0,0.75,640,1827
330,0.0,0.017268406099049755,0.0,0.0,0.33811965811965816,0.0,0.0,0.125,225,1904
331,0.0058952272721609945,0.018315681887916845,0.4512344125016595,6.578794151971005e-28,1.0,0.01840490797546012,0.01923076923076923,0.012738853503184714,57,1995
332,0.0062983236430367885,0.01765071745954905,0.3765426759957288,1.5117312658869726e-18,0.9999999999999998,0.02976190476190476,0.026143790849673203,0.01875,58,2000
333,0.006402143761780672,0.016407018762705845,0.5797955619932931,4.007141067799673e-25,1.0,0.034482758620689655,0.02564102564102564,0.023391812865497078,56,2005
334,0.14583221888198017,0.28889687809405573,0.4584869889231806,2.439328614456707e-09,0.0,0.26724137931034486,0.23214285714285715,0.20720720720720723,94,1970
335,0.19370268749703073,0.330832088555142,0.23798527030261518,3.1395921808948663e-15,0.0,0.27972027972027974,0.2569444444444444,0.2578125,90,1980
336,0.23661238535605306,0.35579057523290475,0.5629303262177325,9.350302693718281e-12,0.0,0.3129770992366412,0.2734375,0.30833333333333335,90,1975
337,0.27631107907282537,0.6314620682425,0.8256013239181972,0.3867184136695264,1.0,0.4,0.30000000000000004,0.5,740,1920
338,0.3169123045234722,0.4401288918551993,0.4098920285608386,0.0,0.5494505494505495,0.2857142857142857,0.3571428571428571,0.23076923076923078,290,1930
339,0.3352325998381853,0.6224350856153413,0.39931415084780475,9.66189881870241e-11,1.0,0.4928571428571429,0.437956204379562,0.4809160305343511,70,1990
340,0.35784637922754103,0.6734177295722282,0.16286744466829078,2.475469306586801e-10,0.9999999999999999,0.4963503649635036,0.4552238805970149,0.47727272727272724,70,1985
341,0.5662123834258618,0.666684303564115,0.7679168948812672,0.0,0.310483870967742,0.5555555555555556,0.6,0.5555555555555556,230,1909
342,0.7112462455430769,0.7846994988030966,0.07714072451219905,1.0,1.0,0.8125000000000001,0.75,0.8,230,1935
343,0.7298129275871612,0.7810135876819014,0.6771148371791671,0.5,0.6994565217391304,0.6666666666666666,0.6666666666666666,0.7000000000000001,640,1894
344,0.7864194614453762,0.8480214921973643,0.1938734665419602,0.6414476592136074,0.9161181692943519,0.8333333333333331,0.8421052631578947,0.7368421052631579,200,1940
